,name,address
441,경기광주시광주점,경기 광주시 통미로
442,경기이천시아미점,경기 이천시 부발읍 경충대로
443,서울강동구명일점(B),서울 강동구 동남로
444,경기양평군한화리조트점,경기 양평군 옥천면 신촌길
445,경기남양주시별내2호점,경기 남양주시 두물로
446,경기성남시야탑점,경기 성남시 분당구 매화로
447,경기이천시관고동점,경기 이천시 영창로
448,경기여주시오학점,경기 여주시 학동 1길
449,경기성남시태평점,경기 성남시 수정구 탄리로
450,경기성남시성남점,경기 성남시 중원구 원터로
451,경기남양주시천마산점,경기 남양주시 화도읍 먹갓로
452,경기구리시교문점,경기 구리시 안골로
453,경기하남시미사1점,경기도 하남시 미사강변한강로
454,경기성남시단대오거리점,경기 성남시 중원구 자혜로
455,경기성남시상대원점,경기 성남시 중원구 박석로
456,경기성남시동판교점(B),경기 성남시 분당구 동판교로
457,경기남양주시다산진건점,경기 남양주시 다산순환로
458,서울강동구길동1점,서울 강동구 진황도로
459,경기성남시수내점(B),경기 성남시 분당구 발이봉북로
460,경기광주시양벌점,경기 광주시 오포읍 양벌로
461,서울강동구둔촌점,서울 강동구 천호대로
462,경기성남시위례중앙점,경기 성남시 수정구 위례서일로 3길
463,경기남양주시마석점(B),경기 남양주시 화도읍 마석로
464,경기남양주시청학점,경기 남양주시 별내면 청학로
465,경기남양주시퇴계원점,경기 남양주시 퇴계원면 퇴계원로
466,경기성남시산성점,경기도 성남시 수정구 희망로
467,서울강동구강일점,서울 강동구 아리수로
468,경기오산시운암1점,경기 오산시 운천로
469,경기안산시월피점,경기 안산시 상록구 예술광장로
470,경기오산시궐동점,경기 오산시 궐동로
471,경기평택시포승점,경기 평택시 포승읍 여술로
472,경기화성시안녕점,경기 화성시 화산중앙로
473,경기안산시초지점,경기 안산시 단원구 초지로
474,경기화성시향남1지구점,경기 화성시 향남읍 행정서로2길
475,경기오산시세교신도시점,경기 오산시 오산대역로
476,경기평택시팽성점(B),경기 평택시 팽성읍 팽성대교길
477,경기군포시금정점,경기 군포시 당산로
478,경기군포시대야미점,경기 군포시 대야로
479,경기수원시영통1호점,경기 수원시 영통구 매영로
480,경기수원시우만점,경기 수원시 팔달구 중부대로
481,경기용인시신갈점,경기 용인시 기흥구 용구대로
482,경기용인시용인1호점,경기 용인시 처인구 중부대로
483,경기의왕시내손동점,경기 의왕시 복지
484,경기의왕시부곡점,경기 의왕시 부곡중앙남길
485,경기용인시모현점,경기 용인시 처인구 모현면 백옥대로
486,경기수원시정자2동점,경기 수원시 장안구 수성로
487,경기용인시죽전1호점,경기 용인시 수지구 푸른솔로
488,경기용인시구성점,경기 용인시 기흥구 마북로
489,경기안산시본오1호점,경기 안산시 상록구 반석로
